label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,3.156736113921876,131.72075307703088,0.9919436380028347,1247.4229745737484,813.2137941888786,0.0,48.95739836733694,-934.0918315470135
2,0.6402711932281933,128.94007407802545,0.9710033018905861,247.66984525460697,139.85227852096523,-0.16977904472511873,54.729730245905415,-198.98604181984848
3,2.5179174973033707,128.94007407802545,0.9710033018905861,973.9814058739593,636.9680537416596,-0.16977904472511873,48.64814599500032,-728.0622076022906
4,0.378928542633078,131.50865505480633,0.9903464008259747,149.4971490106618,-141.018779305902,-1.6736171665061848,167.3275949517501,-27.408177891322975
5,0.3835721327204769,131.50865505480633,0.9903464008259747,151.32916587172076,141.28549762927955,-1.6736171665061848,13.188567298050392,-37.493330624226125
6,0.16203172860868006,130.5783330434059,0.9833404660818652,63.47349906558896,-48.056352460438134,-4.873503361857468,141.87925500398475,-31.503817357114535
7,0.3781530023715159,130.5783330434059,0.9833404660818652,148.135766055095,-135.7704622146581,-4.873503361857468,193.08695517566375,44.010929376764885
8,0.3404183497247312,128.3544181495686,0.9665929287434506,131.08259761906268,104.1292860795501,27.676694245452225,13.036607197693709,27.201458900457034
