label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,2.2761847469438963,133.15165566408604,1.0027192727048402,909.2333029587554,-426.27590881544126,0.0,-240.15663266438895,-743.0150570853714
2,0.6734881370525446,131.58898059018,0.9909513047755938,265.87085218297136,-246.56966141325748,-0.09317181517578435,-196.66680709313627,-73.38208287525183
3,1.8488685249422807,131.58898059018,0.9909513047755938,729.8721733272736,-190.8420683047334,-0.09317181517578435,-253.9053988139307,-657.4063198871181
4,0.7511846761203217,136.32420436313734,1.0266106446015508,307.21395990565156,257.7099020733363,3.435464812970875,35.60205872471392,-162.0788203150127
5,0.7046136573088606,136.32420436313734,1.0266106446015508,288.16768864809217,214.03912841050075,3.435464812970875,44.71259429989227,-187.8866445086827
6,0.4840881336179376,137.83588761060446,1.0379946106431324,200.17415273696798,136.41622021021357,-1.129051238896036,45.05737636412388,-142.18608171957897
7,0.6962237650149433,137.83588761060446,1.0379946106431324,287.89386187929483,-196.05216174131738,-1.129051238896036,-134.93782650109162,204.37863564369314
8,1.5350110595528779,132.60284591268223,0.9985863754304027,610.64050501246,566.1095808776973,33.66029328220433,54.080389473450694,-210.76031760553914
