label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,2.685770115162249,133.90147262857803,1.008365886091263,1078.8857206861521,94.37111285943472,0.0,85.02830594779034,-1084.8392614654463
2,0.600365437849928,131.79440418302337,0.9924982791228897,237.37441552053363,42.384417969746096,-0.12300973107785389,79.57792160369127,-233.24793909733623
3,2.097516458666251,131.79440418302337,0.9924982791228897,829.3227958020111,30.20002071523068,-0.12300973107785389,87.87239320155226,-862.8305797007098
4,0.11292600974976463,136.46812953583247,1.0276944955215337,46.23240397948668,-43.298340727673015,-0.6260688719199432,163.2903200067626,-12.48400813550416
5,0.14582836916815606,136.46812953583247,1.0276944955215337,59.70277432091736,-23.12802029235314,-0.6260688719199432,112.80796609222342,-53.35871717318471
6,0.09800268982717478,137.93049071612228,1.0387070340575264,40.55267729808642,-18.67496057241619,-2.440004739812652,115.50832007839216,-35.199041301949066
7,0.1415278869700999,137.93049071612228,1.0387070340575264,58.563032699405305,26.554806339651286,-2.440004739812652,-64.78221638763718,50.670120266414195
8,0.02507791612054838,1.6710783725362925,0.012584315846358132,0.1257214897719829,-0.10108445810624402,55.65919988426868,235.65919988426867,-5.726979293485931e-17
