label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,3.33077811006496,132.03794822367402,0.9943323254371833,1319.367322923912,920.1749050246854,0.0,45.371998681469755,-932.2018184768784
2,0.6786558088502835,129.13331498521552,0.9724585326269075,262.91122299242966,159.8757902975466,-0.16601974062149366,51.59567532791058,-202.88663838718224
3,2.65287858751437,129.13331498521552,0.9724585326269075,1027.7250187770803,721.2053143857393,-0.16601974062149366,44.896590054469044,-722.7832292615709
4,0.42826667338006097,131.4531073793876,0.9899280904082897,168.89095500852684,-161.23218387985094,-1.9870489677734637,-189.90277503017512,-22.417921798911216
5,0.4068563017264946,131.4531073793876,0.9899280904082897,160.44757535650027,154.11312596536365,-1.9870489677734637,8.548181123166202,-28.661207109304616
6,0.2922103837432853,130.03783252041848,0.9792701427456401,113.99521482580964,-60.195713051704054,-5.30736165048063,-128.46418600281302,92.14015711757615
7,0.401812862296515,130.03783252041848,0.9792701427456401,156.75262107559257,-148.5343102385994,-5.30736165048063,-171.55187065691592,36.361202106246814
8,0.31989314265587676,128.42213826608182,0.9671029056238652,123.24408418957333,94.31991782819341,27.490534842159985,4.6249885392751535,39.77547228905212
