label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,3.3329791379760247,131.65735577852465,0.9914662147764199,1316.4336605127296,896.4597683437607,0.0,-313.3351087908178,-950.1328562581429
2,0.7179962489804745,128.79335097312378,0.9698983807065255,277.4194286769859,177.01150530624335,-0.17076894369520243,-310.5692300719583,-207.99913351182383
3,2.612123462797443,128.79335097312378,0.9698983807065255,1009.2724017876076,680.4427318899862,-0.17076894369520243,-312.968900340555,-734.8593805472574
4,0.46510205340645483,131.14152327253993,0.9875816577826759,182.98257528272612,-177.73108092723703,-2.1803873894586614,-186.8524943047929,-14.525049228592698
5,0.3224822172455017,131.14152327253993,0.9875816577826759,126.8724275936437,117.38460236729942,-2.1803873894586614,9.247783080755704,-23.72895428102311
6,0.1586688423326751,130.26969139831584,0.9810161921226146,62.00922337561685,-49.99047851518873,-5.080224820320378,-208.44776497056262,-21.59919536795051
7,0.3175819877536633,130.26969139831584,0.9810161921226146,124.11392261500032,-113.2012586197011,-5.080224820320378,-171.02222356323838,28.34599333844874
8,0.2638440903340854,127.93357762655035,0.9634237236662703,101.26355523618683,45.55394349002262,-332.96417176917487,-20.064271792726274,49.02205318288248
