label,I_rms,V_rms,V_pu,S,P,Delta,Phi,Q
1,1.7866965430489252,132.18810714359185,0.9954631205611283,708.5401021969094,386.4585273340267,0.0,55.582982051914385,-564.0489822296697
2,0.3955935371362184,129.78525625977025,0.9773680778924727,154.02662577579915,48.62163157837385,-0.020163480512197175,70.27848750734348,-135.78487692221674
3,1.4081233956683634,129.78525625977025,0.9773680778924727,548.2609672565892,317.72585775792976,-0.020163480512197175,53.171603303781964,-424.58570796977324
4,0.30260772250902884,131.92850727313996,0.9935081633208632,119.76775535982217,-50.348273445885226,-0.09243067511646112,116.81826397292014,-99.19597429445945
5,0.2722875262984966,131.92850727313996,0.9935081633208632,107.76746068096949,98.91415313275776,-0.09243067511646112,-11.575695969422258,20.094227408847768
6,0.22945758582343945,130.31450004183878,0.9813536305887014,89.70495173216648,-14.965683439196482,-2.5985800607799288,97.43463806740981,-84.58780583388592
7,0.2695637680142676,130.31450004183878,0.9813536305887014,105.3842029745205,-97.02996541395578,-2.5985800607799288,-192.29207721744822,-16.574301664748763
8,0.4434155850985264,128.86907316098973,0.970468618431065,171.4276664303552,151.93813712599984,29.382883351474472,21.419373004033325,21.254846158378065
